rep,rate,init_frame,init_ori,init_ba,init_vel,msckf_upd,msckf_nonzero,msckf_pct,msckf_feats,slam_feats,final_dist_m,ba_final,log
1,1.0,332,"-0.7071, 0.7071, -0.0028, 0.0013","-0.0000, 0.0000, 0.0058","0.0000, 0.0000, 0.0000",3867,1741,45.0,17713,116105,665.63,"0.0448,-0.0102,0.0019",openvins_bag_20260803_130540.log
2,1.0,332,"-0.7071, 0.7071, -0.0028, 0.0013","-0.0000, 0.0000, 0.0058","0.0000, 0.0000, 0.0000",3866,1813,46.9,18322,117250,673.01,"0.0449,-0.0237,0.0000",openvins_bag_20260803_130935.log
