ws,klt,msckf_pct,msckf_feats,slam_feats,peak_alt,final_alt,max_descent,ba,cfg_ok,log
openvins_ws,3030,69.9,25220,141416,121.9,22.6,-16.10,"-0.1066,-0.0160,-0.0066",True,openvins_bag_20260804_111444.log
openvins_baro_ws,3030,66.7,24710,135654,118.7,-3.7,-6.51,"-0.0572,-0.3441,-0.0101",True,openvins_bag_20260804_111911.log
